ok,source_path,run_id,profile_hash,n_x,n_t,x_min,x_max,z_min,z_max,t_min,t_max,Hs,Tp,t_prop,Xc_WK,has_period_var,period_len,file_size_mb
True,funwave_capstone_artifacts_v8_field\extracted_nc\E2\E2\nc_small_ali_00187.nc,input_00187,1158aeb1211b,756,7766,0.0,1193.0557861328125,-1.7589111328125,8.7520751953125,0.0,1164.7666,1.02619469165802,12.903225898742676,145.6150822733488,387.1505344034428,True,62,9.316
True,funwave_capstone_artifacts_v8_field\extracted_nc\E2\E2\nc_small_ali_00194.nc,input_00194,32d8ccaa9914,1028,8877,0.0,1049.646484375,-6.0301513671875,7.9666748046875,0.0,1331.45569,0.4376351535320282,8.69565200805664,166.43742232097907,250.40250975540772,True,62,13.648
True,funwave_capstone_artifacts_v8_field\extracted_nc\E2\E2\nc_small_ali_00206.nc,input_00206,9e00c50c09dd,832,8264,0.0,1189.1524658203125,-2.662353515625,8.49066162109375,0.0,1239.47229,1.0821242332458496,11.764705657958984,154.95238591392143,350.59248015198995,True,62,11.238
True,funwave_capstone_artifacts_v8_field\extracted_nc\E2\E2\nc_small_ali_00210.nc,input_00210,3c590508ec91,666,7444,0.0,1318.275146484375,-2.31182861328125,8.06121826171875,0.0,1116.49036,2.20135235786438,16.0,139.56826854185846,485.6803356680588,True,62,8.279
True,funwave_capstone_artifacts_v8_field\extracted_nc\E2\E2\nc_small_ali_00222.nc,input_00222,eb4a8d6401ad,856,8622,0.0,1223.4962158203125,-3.16729736328125,7.97265625,0.0,1293.20337,1.0341883897781372,11.764705657958984,161.6521819979886,350.59248015198995,True,62,11.867
True,funwave_capstone_artifacts_v8_field\extracted_nc\E2\E2\nc_small_ali_00225.nc,input_00225,9b1b05a43332,713,7723,0.0,1253.32958984375,-2.59552001953125,8.10748291015625,0.0,1158.31067,0.6081961989402771,14.285714149475098,144.7994191848294,431.2721193856537,True,62,8.551
True,funwave_capstone_artifacts_v8_field\extracted_nc\E2\E2\nc_small_ali_00229.nc,input_00229,7e4792d3e789,771,8059,0.0,1216.7587890625,-3.42437744140625,8.04461669921875,0.0,1208.77454,0.5012706518173218,12.903225898742676,151.1067018148815,387.1505344034428,True,62,9.536
True,funwave_capstone_artifacts_v8_field\extracted_nc\E2\E2\nc_small_ali_00232.nc,input_00232,f95d1665ec03,1648,10122,0.0,885.8173217773438,-1.8988037109375,8.42120361328125,0.0,1518.1593,0.7754002213478088,5.263157844543457,189.77123177439304,131.77003675115589,True,62,26.66
True,funwave_capstone_artifacts_v8_field\extracted_nc\E2\E2\nc_small_ali_00239.nc,input_00239,d71f7858d767,1252,9208,0.0,968.2252197265625,-1.974853515625,8.22314453125,0.0,1381.06995,0.7258612513542175,6.896552085876465,172.6505052380781,189.62044451487992,True,62,18.414
True,funwave_capstone_artifacts_v8_field\extracted_nc\E2\E2\nc_small_ali_00241.nc,input_00241,e0f940a65fb2,1028,9310,0.0,1133.7664794921875,-3.2486572265625,7.7113037109375,0.0,1396.39563,0.8040791153907776,9.302325248718262,174.55864280447798,270.4700892441342,True,62,15.004
