ok,source_path,run_id,profile_hash,n_x,n_t,x_min,x_max,z_min,z_max,t_min,t_max,Hs,Tp,t_prop,Xc_WK,has_period_var,period_len,file_size_mb
True,funwave_capstone_station_artifacts\extracted_nc\E2\E2\nc_small_ali_02010.nc,input_02010,78650c29305e,813,7986,0.0,1161.963623046875,-2.56158447265625,8.783447265625,0.0,1197.81787,1.110461711883545,11.764705657958984,149.73683806836397,350.59248015198995,True,62,10.574
True,funwave_capstone_station_artifacts\extracted_nc\E2\E2\nc_small_ali_02015.nc,input_02015,18e4edd3517a,882,8366,0.0,1054.8990478515625,-3.3040771484375,7.6639404296875,0.0,1254.7749,0.4245670735836029,10.0,156.84902820748707,293.3601185090381,True,62,10.935
True,funwave_capstone_station_artifacts\extracted_nc\E2\E2\nc_small_ali_02016.nc,input_02016,26acb0dd5c77,933,8634,0.0,1115.9658203125,-2.33905029296875,7.9349365234375,0.0,1294.96863,0.853570818901062,10.0,161.89230820994823,293.3601185090381,True,62,13.069
True,funwave_capstone_station_artifacts\extracted_nc\E2\E2\nc_small_ali_02029.nc,input_02029,94ee41e2b724,798,7856,0.0,1140.498779296875,-1.37091064453125,8.7236328125,0.0,1178.28113,0.6179220080375671,11.764705657958984,147.29553848325185,350.59248015198995,True,62,9.605
True,funwave_capstone_station_artifacts\extracted_nc\E2\E2\nc_small_ali_02032.nc,input_02032,4a6b63dadf08,890,8257,0.0,1064.4781494140625,-2.13336181640625,8.07159423828125,0.0,1238.42517,2.210211753845215,10.0,154.81829503877412,293.3601185090381,True,62,12.434
True,funwave_capstone_station_artifacts\extracted_nc\E2\E2\nc_small_ali_02039.nc,input_02039,6e45c370766d,869,8287,0.0,1132.8577880859375,-1.69256591796875,8.6563720703125,0.0,1242.94861,1.5163735151290894,10.810811042785645,155.36917059753864,319.7582367914217,True,62,12.105
True,funwave_capstone_station_artifacts\extracted_nc\E2\E2\nc_small_ali_02056.nc,input_02056,4bc97e70ef62,820,8137,0.0,1171.9805908203125,-0.6646728515625,8.55535888671875,0.0,1220.41992,0.6076029539108276,11.764705657958984,152.5651487340201,350.59248015198995,True,62,10.465
True,funwave_capstone_station_artifacts\extracted_nc\E2\E2\nc_small_ali_02058.nc,input_02058,533ba85936c9,732,7971,0.0,1286.775146484375,-2.79742431640625,7.74957275390625,0.0,1195.53601,0.65315842628479,14.285714149475098,149.4530530535939,431.2721193856537,True,62,8.99
True,funwave_capstone_station_artifacts\extracted_nc\E2\E2\nc_small_ali_02064.nc,input_02064,715ca6a55bc6,766,7934,0.0,1208.8577880859375,-2.1640625,8.48193359375,0.0,1189.95471,0.9596065878868103,12.903225898742676,148.75950402077376,387.1505344034428,True,62,9.764
True,funwave_capstone_station_artifacts\extracted_nc\E2\E2\nc_small_ali_00534.nc,input_00534,2a36a13903b0,1086,8562,0.0,960.0474243164062,-2.14556884765625,8.4993896484375,0.0,1284.16394,0.5163578987121582,7.692307949066162,160.53805110614312,216.78489796173628,True,62,14.094
True,funwave_capstone_station_artifacts\extracted_nc\E2\E2\nc_small_ali_01053.nc,input_01053,b19e5b0c43ec,1000,8874,0.0,1102.8555908203125,-1.33050537109375,8.0054931640625,0.0,1330.96143,0.801905632019043,9.302325248718262,166.37118593186693,270.4700892441342,True,62,14.119
True,funwave_capstone_station_artifacts\extracted_nc\E2\E2\nc_small_ali_02048.nc,input_02048,206c6ec00f46,1081,8456,0.0,955.6232299804688,-1.57708740234375,8.88189697265625,0.0,1268.26111,0.4452587366104126,7.692307949066162,158.55108697722778,216.78489796173628,True,62,13.659
True,funwave_capstone_station_artifacts\extracted_nc\E2\E2\nc_small_ali_02067.nc,input_02067,e27bc66f1018,809,8375,0.0,1276.806640625,-1.55511474609375,8.41485595703125,0.0,1256.10352,0.5036264061927795,12.903225898742676,157.02180993018376,387.1505344034428,True,62,10.504
True,funwave_capstone_station_artifacts\extracted_nc\E2\E2\nc_small_ali_02071.nc,input_02071,d9731604858f,843,8227,0.0,1098.9241943359375,-1.80279541015625,7.81719970703125,0.0,1233.90967,0.5156529545783997,10.810811042785645,154.24043721020968,319.7582367914217,True,62,10.52
True,funwave_capstone_station_artifacts\extracted_nc\E2\E2\nc_small_ali_02072.nc,input_02072,14ffc2539505,881,8038,0.0,1053.70166015625,-1.90057373046875,8.41583251953125,0.0,1205.58362,0.9077602624893188,10.0,150.71257687464245,293.3601185090381,True,62,11.394
True,funwave_capstone_station_artifacts\extracted_nc\E2\E2\nc_small_ali_02074.nc,input_02074,b2e56809c15e,822,8300,0.0,1174.842529296875,-2.16827392578125,7.9117431640625,0.0,1244.88281,0.6225098967552185,11.764705657958984,155.62430647547717,350.59248015198995,True,62,10.55
True,funwave_capstone_station_artifacts\extracted_nc\E2\E2\nc_small_ali_02085.nc,input_02085,652601237050,704,7701,0.0,1237.4869384765625,-2.26806640625,7.61798095703125,0.0,1155.04614,0.8429499268531799,14.285714149475098,144.40459542576522,431.2721193856537,True,62,8.378
True,funwave_capstone_station_artifacts\extracted_nc\E2\E2\nc_small_ali_02086.nc,input_02086,7faba465c660,760,7927,0.0,1199.3765869140625,-2.25482177734375,8.19012451171875,0.0,1188.97754,1.271806240081787,12.903225898742676,148.6260510657778,387.1505344034428,True,62,9.834
True,funwave_capstone_station_artifacts\extracted_nc\E2\E2\nc_small_ali_02093.nc,input_02093,e498cacc975f,790,7856,0.0,1129.0509033203125,-2.02203369140625,8.614013671875,0.0,1178.31213,0.8153845071792603,11.764705657958984,147.29740379247562,350.59248015198995,True,62,9.711
True,funwave_capstone_station_artifacts\extracted_nc\E2\E2\nc_small_ali_02095.nc,input_02095,f9beef29843f,728,7902,0.0,1279.7340087890625,-2.0159912109375,8.01397705078125,0.0,1185.15759,1.3808290890625223,14.285714285714285,148.14836842479434,431.27212372164894,True,62,9.359
