run_id,profile_hash,cache_path,source_path,n_stations,nt,dt,Hs,Tp,offshore_x,offshore_depth,trim_start
input_03194,8d3b411ce780,funwave_capstone_station_artifacts\cache\processed_station_runs\nc_small_ali_03194__f70e7469007fa5d6.joblib,funwave_capstone_station_artifacts\extracted_nc\E2\E2\nc_small_ali_03194.nc,10,1766,0.6,0.7879862785339355,11.764705657958984,452.1927490234375,7.7677001953125,196.98440480993406
input_03232,c4f4c07dbcb7,funwave_capstone_station_artifacts\cache\processed_station_runs\nc_small_ali_03232__9b5d07c0ca49f301.joblib,funwave_capstone_station_artifacts\extracted_nc\E2\E2\nc_small_ali_03232.nc,10,1631,0.6,1.7837722301483154,14.285714149475098,556.2529907226562,8.3365478515625,185.41053843443052
input_03091,919cbaad5f55,funwave_capstone_station_artifacts\cache\processed_station_runs\nc_small_ali_03091__c036d7f4f2050fc2.joblib,funwave_capstone_station_artifacts\extracted_nc\E2\E2\nc_small_ali_03091.nc,10,1723,0.6,1.892682433128357,11.764705657958984,452.1927490234375,7.913330078125,193.35331037702002
input_02338,88b1391e6f08,funwave_capstone_station_artifacts\cache\processed_station_runs\nc_small_ali_02338__c55fe0928d31b3e2.joblib,funwave_capstone_station_artifacts\extracted_nc\E2\E2\nc_small_ali_02338.nc,10,1710,0.6,1.2945424318313599,10.810811042785645,412.4228820800781,8.18780517578125,192.25328939529533
input_03379,455592279b25,funwave_capstone_station_artifacts\cache\processed_station_runs\nc_small_ali_03379__a373312a22b121fa.joblib,funwave_capstone_station_artifacts\extracted_nc\E2\E2\nc_small_ali_03379.nc,10,1725,0.6,0.5576711297035217,11.764705657958984,452.1927490234375,7.95458984375,193.5360740464219
input_03310,f7c7ca3c55b7,funwave_capstone_station_artifacts\cache\processed_station_runs\nc_small_ali_03310__db918aff2d8e0848.joblib,funwave_capstone_station_artifacts\extracted_nc\E2\E2\nc_small_ali_03310.nc,10,1778,0.6,0.7974519729614258,10.810811042785645,412.4228820800781,7.95123291015625,198.01258071468664
input_02913,d49c2d75c25b,funwave_capstone_station_artifacts\cache\processed_station_runs\nc_small_ali_02913__bb738221299743c1.joblib,funwave_capstone_station_artifacts\extracted_nc\E2\E2\nc_small_ali_02913.nc,10,1720,0.6,0.7655914425849915,10.0,378.37469482421875,8.62939453125,193.1040834551191
input_02710,69fd66dbabdc,funwave_capstone_station_artifacts\cache\processed_station_runs\nc_small_ali_02710__73ffcf976553d3ab.joblib,funwave_capstone_station_artifacts\extracted_nc\E2\E2\nc_small_ali_02710.nc,10,1752,0.6,0.8350086212158203,10.0,378.37469482421875,7.86865234375,195.84846898849787
input_02363,267a2c208909,funwave_capstone_station_artifacts\cache\processed_station_runs\nc_small_ali_02363__25e2739e76b2ade2.joblib,funwave_capstone_station_artifacts\extracted_nc\E2\E2\nc_small_ali_02363.nc,10,1802,0.6,0.6556351184844971,10.0,378.37469482421875,7.8033447265625,200.09899762015004
input_03641,1cdb5c704cfe,funwave_capstone_station_artifacts\cache\processed_station_runs\nc_small_ali_03641__ef6ebf1c46134bd4.joblib,funwave_capstone_station_artifacts\extracted_nc\E2\E2\nc_small_ali_03641.nc,10,1552,0.6,0.6917570233345032,16.0,626.4285278320312,8.001708984375,178.7093720646189
input_03644,857e27059be6,funwave_capstone_station_artifacts\cache\processed_station_runs\nc_small_ali_03644__2019e81475cde6a8.joblib,funwave_capstone_station_artifacts\extracted_nc\E2\E2\nc_small_ali_03644.nc,10,1707,0.6,0.660476803779602,10.810811042785645,412.4228820800781,7.93548583984375,191.95872230073275
input_03787,852cd33283ae,funwave_capstone_station_artifacts\cache\processed_station_runs\nc_small_ali_03787__54aeb8cd0e224462.joblib,funwave_capstone_station_artifacts\extracted_nc\E2\E2\nc_small_ali_03787.nc,10,1636,0.6,0.45003747940063477,14.285714149475098,556.2529907226562,8.35418701171875,185.88520520671088
input_03757,e607f5173bf8,funwave_capstone_station_artifacts\cache\processed_station_runs\nc_small_ali_03757__ffc39c7a0c314e5e.joblib,funwave_capstone_station_artifacts\extracted_nc\E2\E2\nc_small_ali_03757.nc,10,1829,0.6,0.31296855211257935,9.302325248718262,348.8512268066406,8.8424072265625,202.43632215063934
input_03253,f63881380ce9,funwave_capstone_station_artifacts\cache\processed_station_runs\nc_small_ali_03253__4bb0b4f2a0a6dbe6.joblib,funwave_capstone_station_artifacts\extracted_nc\E2\E2\nc_small_ali_03253.nc,10,1778,0.6,1.649291753768921,10.0,378.37469482421875,7.8681640625,198.01751654837472
input_03857,3deae04a14c0,funwave_capstone_station_artifacts\cache\processed_station_runs\nc_small_ali_03857__959bb0aed2a11288.joblib,funwave_capstone_station_artifacts\extracted_nc\E2\E2\nc_small_ali_03857.nc,10,1571,0.6,0.478790819644928,16.0,626.4285278320312,7.99786376953125,180.36024984562061
input_03826,4158dc32c457,funwave_capstone_station_artifacts\cache\processed_station_runs\nc_small_ali_03826__4fd9c7c95cc41023.joblib,funwave_capstone_station_artifacts\extracted_nc\E2\E2\nc_small_ali_03826.nc,10,1860,0.6,0.5574439764022827,10.810811042785645,412.4228820800781,8.32928466796875,205.0510606278432
input_03976,01fd06887169,funwave_capstone_station_artifacts\cache\processed_station_runs\nc_small_ali_03976__9d2b05c8af62f299.joblib,funwave_capstone_station_artifacts\extracted_nc\E2\E2\nc_small_ali_03976.nc,10,1750,0.6,0.6932127475738525,10.810811042785645,412.4228820800781,8.56854248046875,195.66582169801106
input_04036,ae415a8cac48,funwave_capstone_station_artifacts\cache\processed_station_runs\nc_small_ali_04036__90a39675749300cf.joblib,funwave_capstone_station_artifacts\extracted_nc\E2\E2\nc_small_ali_04036.nc,10,1695,0.6,1.1659903526306152,10.0,378.37469482421875,8.295166015625,190.90932385706037
