cache_path,run_id,profile_hash,station_id,station_rank,station_label,n_samples,duration_s,depth_target,x_target,dx_to_offshore,tau_path,shoaling_gain_path,local_slope,wet_fraction,target_std,Hs,Tp
funwave_capstone_station_artifacts\cache\processed_station_runs\nc_small_ali_04951__3694e80e93926565.joblib,input_04951,b81bee2445cd,station_07,7,h3.56m_x870.5,1754,1051.79999999999,3.56146240234375,870.501220703125,492.12652587890625,78.66282049076838,1.1666351714053478,0.012157202698290348,1.0,0.25702473521232605,1.7544506788253784,10.0
funwave_capstone_station_artifacts\cache\processed_station_runs\nc_small_ali_04951__3694e80e93926565.joblib,input_04951,b81bee2445cd,station_08,8,h2.27m_x932.8,1754,1051.79999999999,2.26763916015625,932.7654418945312,554.3907470703125,90.6462164051483,1.2889246265798222,-0.04643694683909416,1.0,0.24308869242668152,1.7544506788253784,10.0
funwave_capstone_station_artifacts\cache\processed_station_runs\nc_small_ali_04951__3694e80e93926565.joblib,input_04951,b81bee2445cd,station_09,9,h0.00m_x993.8,1754,1051.79999999999,0.05,993.8322143554688,615.45751953125,129.74665356689283,3.270699234907232,0.0,0.6014823261117446,0.0540071465075016,1.7544506788253784,10.0
funwave_capstone_station_artifacts\cache\processed_station_runs\nc_small_ali_04957__dd18aff141eb084a.joblib,input_04957,756f9f680cfc,station_00,0,h8.16m_x425.0,1874,1123.7999999999893,8.1639404296875,425.0244140625,76.17318725585938,10.260014052783863,1.006082147782678,-0.010089116171002388,1.0,0.37841615080833435,1.5711770057678223,9.302325248718262
funwave_capstone_station_artifacts\cache\processed_station_runs\nc_small_ali_04957__dd18aff141eb084a.joblib,input_04957,756f9f680cfc,station_01,1,h7.73m_x500.1,1874,1123.7999999999893,7.7340087890625,500.09368896484375,151.24246215820312,20.51977584612927,1.0145460277074003,-0.016254546120762825,1.0,0.37119272351264954,1.5711770057678223,9.302325248718262
funwave_capstone_station_artifacts\cache\processed_station_runs\nc_small_ali_04957__dd18aff141eb084a.joblib,input_04957,756f9f680cfc,station_02,2,h7.17m_x574.1,1874,1123.7999999999893,7.17022705078125,574.0589599609375,225.20773315429688,30.833586832449416,1.0269783883891894,-0.005943495314568281,1.0,0.3624771535396576,1.5711770057678223,9.302325248718262
funwave_capstone_station_artifacts\cache\processed_station_runs\nc_small_ali_04957__dd18aff141eb084a.joblib,input_04957,756f9f680cfc,station_03,3,h6.50m_x649.1,1874,1123.7999999999893,6.49603271484375,649.1282348632812,300.2770080566406,41.61139498634081,1.0442048855248383,-0.008072230033576488,1.0,0.35658854246139526,1.5711770057678223,9.302325248718262
funwave_capstone_station_artifacts\cache\processed_station_runs\nc_small_ali_04957__dd18aff141eb084a.joblib,input_04957,756f9f680cfc,station_04,4,h5.76m_x724.2,1874,1123.7999999999893,5.759033203125,724.1974487304688,375.3462219238281,52.793431545345,1.0667068528479313,-0.01758083514869213,1.0,0.36219143867492676,1.5711770057678223,9.302325248718262
funwave_capstone_station_artifacts\cache\processed_station_runs\nc_small_ali_04957__dd18aff141eb084a.joblib,input_04957,756f9f680cfc,station_05,5,h4.77m_x799.3,1874,1123.7999999999893,4.7744140625,799.2667236328125,450.4154968261719,64.61804091022844,1.1048888559710919,-0.015066069550812244,1.0,0.35595807433128357,1.5711770057678223,9.302325248718262
funwave_capstone_station_artifacts\cache\processed_station_runs\nc_small_ali_04957__dd18aff141eb084a.joblib,input_04957,756f9f680cfc,station_06,6,h3.71m_x874.3,1874,1123.7999999999893,3.71209716796875,874.3359375,525.4847412109375,77.50821647985325,1.1619246600552726,-0.011803437024354935,1.0,0.35491448640823364,1.5711770057678223,9.302325248718262
